Gene,Mean SHAP Value
FABP7,0.00017839621822417397
C2orf82,0.00017644455592780148
PPIP5K1,0.00017631331245386488
OTX1,0.00017612885330685611
PTGER3,0.0001758105953540415
ARHGAP22,0.00017504100770932907
LILRA5,0.00017410964566604391
INTS10,0.00017379626066608107
SIDT1,0.00017359712698142204
LASS2,0.00017348331023604385
ZSWIM4,0.00017269505165172952
CDK3,0.00017238335662583929
ZBTB7A,0.00017221339719858769
TSPAN33,0.00017184320745963763
DAXX,0.00017182939905021802
MRAS,0.0001716058611149288
ERBB4,0.00017140164905241436
PRR3,0.00017116795742582458
RNF41,0.00017100469112298075
LOC152217,0.00017062838402828967
ASB8,0.00017043864399034404
ABTB2,0.00017037171688553482
DOM3Z,0.00016893092994386182
C16orf45,0.00016732013845471063
RASSF4,0.0001667514953020276
TMEM217,0.00016593594984423894
IGF2BP3,0.0001659044020202079
ANKRD42,0.00016570276567231423
VSTM2A,0.0001648482141542607
ATG9A,0.00016482663257478506
PRSS16,0.00016459634170574956
MKL2,0.00016237909403567057
PGM2,0.00016224142371400267
