Gene,log2FoldChange,pvalue,adj_pvalue
AGK,0.26287719256902875,5.640753837846384e-07,1.3515315705313985e-06
FAM25A,-0.8027066965162405,5.694632004781909e-07,1.3641803775697835e-06
ZNF548,-0.33534234319154876,5.702510152216904e-07,1.3658754977813484e-06
STEAP4,-1.053258693688388,5.728798877304863e-07,1.371979255807929e-06
PLXNC1,-0.8050968697223198,5.751421516373981e-07,1.3772034367807775e-06
ZNF618,0.3698436353638872,5.754881956298123e-07,1.3778383201990304e-06
DNAJC19,-0.282322288991006,5.762086724774161e-07,1.379369369172111e-06
DYRK4,0.5175308825262164,5.791298837929553e-07,1.3861675222760405e-06
TERT,0.8718921134283799,5.802528428411361e-07,1.3886601902170528e-06
TTC9C,0.2332885157692175,5.812503412925293e-07,1.3908519477605415e-06
LOC256880,0.3692413377322179,5.817423832409413e-07,1.3916382619178577e-06
SART1,0.379293939750994,5.8167590354413e-07,1.3916382619178577e-06
HECTD1,-0.2798376379560903,5.838529304415844e-07,1.3964909277275536e-06
C21orf58,0.5106075370173979,5.877451674396729e-07,1.4056031739218693e-06
KIAA0125,1.1411020816150192,5.88391907274017e-07,1.406952285997825e-06
LOC442454,0.32880675542987436,5.933299219622411e-07,1.4185607989634938e-06
RAMP3,-0.6468399670083658,5.940158960788807e-07,1.4200015034002438e-06
RAP1GDS1,-0.28911840461882754,5.974563811582613e-07,1.4280255678772197e-06
MAP1LC3B2,0.2916263540316564,5.978247576084475e-07,1.428705532145925e-06
KLRC1,0.8879524566984798,5.994518407189511e-07,1.432336900353977e-06
RNLS,-0.5297155885471891,5.995124736185055e-07,1.432336900353977e-06
YIPF2,0.3241598915989137,6.101479318478781e-07,1.4575423312343056e-06
GOLGA6L9,0.5239225167903854,6.112986367719414e-07,1.460086365249111e-06
MYH11,-1.1246192961784676,6.135672051993708e-07,1.465299327520023e-06
F5,0.9128950591100127,6.148494734059465e-07,1.4681557111754444e-06
UQCRFS1,0.33367417226346063,6.158336796847657e-07,1.470299672652679e-06
GTF2B,0.19618693688386202,6.164582607046202e-07,1.4715845500139727e-06
ZDHHC8P1,0.7111209221947297,6.183867215543964e-07,1.4759812008509277e-06
AFAP1L2,-0.5573914575232717,6.189324681325731e-07,1.477076784234546e-06
