Gene,log2FoldChange,pvalue,adj_pvalue
PRG2,1.5253973213935037,5.3769282404044034e-17,3.609345208280922e-16
CCNO,-1.8542787046855977,5.482751523345096e-17,3.678930592693735e-16
PEX5L,-1.234429488236911,5.751665330719202e-17,3.854815449907438e-16
NEIL3,1.0450056635638818,5.933995657770502e-17,3.9707640884806156e-16
C14orf132,-1.6511352264247288,6.216519493658433e-17,4.1500324177578644e-16
C2orf81,-1.1225763127921136,6.409783759401407e-17,4.277375290854465e-16
C2orf88,1.5599229527512675,6.481180540193157e-17,4.321632913057536e-16
C3orf15,-1.8436536035505284,6.503731509607696e-17,4.334972509143603e-16
C5orf46,1.7743563685636854,6.538580296570349e-17,4.3564954010404165e-16
MDFI,1.645778429755313,6.557545472642671e-17,4.367422737548091e-16
AMIGO2,-1.2794790346019393,7.071001159101131e-17,4.691045957907763e-16
STYK1,1.1541697851616188,7.250760837271655e-17,4.8065573008461e-16
NBPF4,-2.2132834491968105,7.534728491227007e-17,4.981227725372513e-16
KIF1A,3.4378842661325164,7.923101491848621e-17,5.227834885942737e-16
MCART6,1.2536620949687753,8.23787487766798e-17,5.433424057578842e-16
KISS1R,-1.5444585522956686,8.388316330196186e-17,5.53050821150759e-16
STEAP2,-1.2138166214995483,8.431905570438796e-17,5.55709566039368e-16
SLC22A18,-1.1216249754526544,8.898101180181939e-17,5.848501084465396e-16
CAB39L,-1.0604223557597887,9.12725686885656e-17,5.992181359931659e-16
ZC3H12C,1.0583367778170532,9.779016903486505e-17,6.4027934589148475e-16
MS4A15,-1.977006017045678,9.778420673128948e-17,6.4027934589148475e-16
SULT2B1,-1.8984401751698687,9.84412737479672e-17,6.437998816927347e-16
VANGL2,1.4492610266682355,9.961286750519528e-17,6.509620620159156e-16
DSC3,2.7282438042496384,1.006500853473598e-16,6.57487899296332e-16
CLDN23,1.2151970071874638,1.0312158310978323e-16,6.726007508079695e-16
KLK5,3.5806756883076067,1.0900897629451718e-16,7.090996433520349e-16
SHISA6,-1.2730259337810774,1.139121638509611e-16,7.395822151665526e-16
OXER1,1.1488842268567603,1.2120192953670544e-16,7.851155800723064e-16
PLAGL1,1.2392428302109106,1.249928209491628e-16,8.087491416277518e-16
KRT6A,3.2780436982050984,1.3679699960449465e-16,8.8344819994863255e-16
ATP8B3,-1.1198305526098746,1.3963556828888868e-16,9.010965244258333e-16
KCNF1,-1.7636274066218927,1.437315088883787e-16,9.268260493635325e-16
PLEKHF1,1.2161579435214636,1.5589662858163817e-16,1.0029919096128817e-15
ZNF214,-1.481256399984289,1.6217135065178995e-16,1.042573839788593e-15
KRT5,2.865895624680883,1.6225376576676465e-16,1.0427100494369818e-15
KIAA1045,1.7870172970425355,1.6374078830661617e-16,1.0514727092238587e-15
PLCL1,-1.1238424256706336,1.6475072961178186e-16,1.0575593385935339e-15
HS6ST3,-2.535626145870154,1.6691565069972714e-16,1.0706491643752743e-15
SPIB,2.2958296846156876,1.676398253374279e-16,1.0744848421138115e-15
ECEL1,1.999076642708455,1.7511116946023177e-16,1.1198434907652073e-15
IGFBP5,-1.27290323632222,1.8658142851237595e-16,1.1914067219969114e-15
SSC5D,-1.209383531675897,1.9427636551473935e-16,1.2372948783530333e-15
ANXA8L2,2.590320639409293,1.943940697915004e-16,1.2375816854389727e-15
ATP6V1G2,-1.151474565021012,1.9497255725123375e-16,1.2403371871455027e-15
SCML2,1.4004786339892377,2.0076982953916852e-16,1.2757873869597165e-15
S100A2,2.5085339421075368,2.0634695933130075e-16,1.3102493353512498e-15
GPRC5A,-1.6526999214484874,2.1671163376653112e-16,1.3740130763380584e-15
IDO1,2.3209221790188925,2.201524118255575e-16,1.39479001986207e-15
PCSK1N,2.3877005734260246,2.436698083233006e-16,1.5403477489776576e-15
TREX2,1.0813696830446569,2.4376602580122274e-16,1.5403842001465021e-15
C7orf13,1.2612204940889988,2.4678816745862695e-16,1.5583249876975962e-15
HGD,-2.5072487687050784,2.478392743962933e-16,1.5643820767119627e-15
SDR16C5,-2.7479722791720667,2.555677125942222e-16,1.6119696835109644e-15
IL2RA,1.5577410470916302,2.681657773165994e-16,1.6883043207769641e-15
HPGDS,-1.2476994619221555,2.7085409310301554e-16,1.7045991151309514e-15
CAMK2N1,-1.556979372373437,2.838436043480815e-16,1.783052962762017e-15
DDC,1.7151363693492014,2.913080883695061e-16,1.8272474198647103e-15
ZNF423,-1.1280109147323376,2.948369522190238e-16,1.848701508206913e-15
FGF14,-1.1820658300930846,2.992563122618479e-16,1.8757213830766543e-15
DOK7,-2.2002511763088655,3.0635602157499584e-16,1.9181040615522718e-15
HIST4H4,-1.0113041435921608,3.3767858714795914e-16,2.106471186494412e-15
C5orf27,2.001532426063391,3.4178824801536465e-16,2.130546802233404e-15
COL4A4,1.4027426024115313,3.459397364607697e-16,2.1556361917039545e-15
PKP1,2.568531086760143,3.5371347042110677e-16,2.2016595033886874e-15
CCDC39,-1.0409919563253598,3.7874637479418654e-16,2.3548925749342814e-15
LOXL4,1.9769913396960046,3.9745943666539513e-16,2.466739871141282e-15
ANXA1,1.1247646086171006,4.034157705848887e-16,2.50188294721801e-15
PDZRN4,-1.3757401476768396,4.0627599362938854e-16,2.518704103206584e-15
DAPK1,1.1610041514473117,4.200875785783281e-16,2.6014878047959737e-15
PRKG1,-1.3187079926161562,4.228617526580243e-16,2.6177156116925313e-15
IFITM2,-1.004267786025686,4.2707411371726336e-16,2.642831452254722e-15
CNKSR2,1.650384737441577,4.301248021043937e-16,2.6597768263753902e-15
TJP3,-1.3183560582852198,4.382868315288383e-16,2.7082818363338592e-15
SPEG,1.4211834413416602,4.480302061229567e-16,2.7654782204689932e-15
SLC1A2,-1.6479549978398325,4.550339743470978e-16,2.8066746045386003e-15
FPR2,1.3472180864852126,4.557366314942506e-16,2.8089738814140743e-15
PECI,-1.0899221201052587,4.615395548951873e-16,2.8416553217154882e-15
TMPRSS5,1.8806319822473585,4.724890725780099e-16,2.9080191203482143e-15
CNTD2,-1.4198997682730452,4.866553185429234e-16,2.9924145623375175e-15
RAET1K,1.2038421075370171,4.923585933246153e-16,3.0248437389315287e-15
TRPV3,1.66849411649189,5.019779296224523e-16,3.0806068978271575e-15
FAM3D,2.7540695298692115,5.06897668533647e-16,3.107439631075597e-15
CD38,1.8010334747260508,5.076828828212863e-16,3.111133319340232e-15
ZG16B,-2.495638757315108,5.133144192986482e-16,3.1422518190711642e-15
ABHD1,-1.067933066258198,5.31511926951215e-16,3.248976351751325e-15
WIPF3,1.3233355209928903,5.512923534794845e-16,3.359741662369965e-15
FOLR1,2.7643294489611563,5.989876635244911e-16,3.639229364902634e-15
GPR37,1.147562684105103,6.198340869325497e-16,3.759178953155741e-15
VTCN1,1.6650800164958195,6.572223949891154e-16,3.97884727574285e-15
NLRP5,-1.247015341109933,6.652741435815683e-16,4.024731319784763e-15
BSN,-1.1182923687207884,6.852934597378311e-16,4.14142924745751e-15
GJB6,2.2387181768194493,6.98980391242716e-16,4.218155940065008e-15
DYNC2H1,-1.1576620517654455,7.280124725290982e-16,4.390245186675122e-15
